,Student,Occupation,Volunteering,Hour_Study,Hour_Sleep,Meal,Snack,Exercise,Exercise_Time,Laugh,Mood_Swing,Mood,Friends,Hobby,Family,Previous_Relationship,Sleep_Early,Sleep_Late,Sleep_onTime,Woke_Early,Woke_Late,Woke_onTime,SP_None,SP_Interrupted,SP_Decline,SP_Tired,SP_Nap,Bad,Good,Average,Really Bad,Really Good,Veggies,Fruit,Water,Fried,Oil,Fast,Alcohol,Caffe,Vitamin,Sugar,Drug,F_None,F_Decline,Healthy,F_Average,Really Healthy,Unhealthy,Sweat,Sore,E_None,E_Decline,Dry_skin,Dry_mouth,Dry_eyes,Acne,Muscle,Headache,T_None,T_Decline,Energized,Confident,Thankful,Relaxed,Excited,Productive,Focused,Peaceful,Happy,Hopeful,Positive,Pos_None,Pos_Decline,Pos_Total,Negative,Hopeless,Frustrated,Anxious,Scared,Tired,Stressed,Distracted,Upset,Angry,Jealous,Lonely,Hungry,Neg_None,Neg_Decline,Neg_Total,Talk_10,Talk_More,Talk_2F,Talk_None,Talk_Decline,R_Decline,R_Complicated,No,Yes
0,1,1,0,15,7,3,2,1,30,1,0,8,4,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,4,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,1,0
1,1,1,1,75,7,4,1,1,60,1,0,10,10,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
2,1,1,1,15,7,3,1,1,60,1,0,7,3,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0
3,1,1,1,65,9,2,1,1,45,1,0,3,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,6,1,1,1,0,0,0,0,1,0
4,1,0,0,0,8,3,1,0,0,0,0,5,4,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,1,0
5,1,1,0,15,8,3,1,1,30,1,0,6,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0
6,0,1,0,45,7,3,1,1,60,1,0,9,4,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1
7,0,1,0,45,6,2,1,1,60,1,0,9,10,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
8,1,0,1,35,9,1,2,0,45,1,0,4,2,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0
9,0,1,0,35,6,2,3,0,0,1,1,5,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,7,1,1,0,0,0,0,0,0,1
10,1,0,1,35,6,2,2,1,60,1,0,9,4,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
11,1,0,1,25,8,3,2,1,30,1,1,7,3,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,7,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1,0,0,0,0,1,0
12,0,1,0,45,7,3,1,0,0,1,0,8,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1
13,1,1,0,55,8,3,1,1,45,1,0,8,4,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
14,1,1,0,5,9,3,2,1,60,1,0,8,10,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
15,1,0,1,0,6,2,2,0,0,0,0,5,3,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0
16,1,1,1,75,8,3,2,1,60,1,0,8,3,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1
17,1,0,0,0,6,2,0,1,30,1,1,4,2,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,8,1,1,1,0,0,0,0,1,0
18,1,0,1,65,7,2,2,0,0,1,0,7,5,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,8,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,1
19,1,0,0,0,5,1,0,1,30,0,0,2,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,12,1,0,1,0,0,0,0,1,0
20,1,0,0,0,9,2,0,1,30,1,0,5,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,11,1,1,1,0,0,0,0,0,1
21,1,0,1,0,7,2,0,1,45,0,0,6,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0
22,1,0,1,5,8,2,0,0,0,1,0,6,3,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,9,1,1,1,0,0,0,1,0,0
23,1,0,0,0,6,2,2,0,0,1,1,3,4,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,9,1,0,0,0,0,0,0,1,0
24,1,0,0,15,6,1,2,0,0,1,0,5,3,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,9,1,1,1,0,0,0,1,0,0
25,1,1,0,25,8,2,0,0,0,1,0,4,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,4,1,1,1,0,0,0,0,0,1
26,1,0,1,25,8,2,4,0,15,1,0,6,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0
27,1,0,0,65,7,3,3,0,0,1,0,6,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0
28,0,1,1,45,7,2,3,0,0,0,1,7,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,4,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,4,1,0,1,0,0,0,0,0,1
29,1,1,1,25,6,2,2,1,45,1,1,4,3,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,4,1,0,1,0,0,0,0,1,0
30,1,0,0,25,8,2,0,0,0,1,1,5,5,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,5,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,8,1,0,1,0,0,0,0,0,1
31,1,0,1,35,5,2,3,1,45,1,1,8,10,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,9,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,7,1,0,1,0,0,0,0,1,0
32,1,0,1,35,7,3,1,1,45,1,1,5,4,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,7,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,9,1,0,1,0,0,0,0,1,0
33,1,0,1,25,6,2,2,0,0,1,1,6,10,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,1
34,1,0,1,25,5,1,1,1,120,0,0,4,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,1,0
35,1,1,0,15,7,3,3,1,60,1,0,7,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,1,1,1,0,0,0,1,0,0
36,0,0,1,35,6,3,1,0,0,1,1,6,20,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,1,0
37,1,0,1,15,8,2,0,0,0,1,0,8,10,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
38,1,0,0,25,7,3,1,1,45,1,0,6,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,8,1,1,1,0,0,0,0,1,0
39,1,1,0,15,6,3,1,1,90,1,1,4,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,1,0
40,1,0,0,25,7,2,0,0,0,1,1,6,2,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,10,1,1,1,0,0,0,0,1,0
41,1,1,0,25,6,2,1,1,60,1,0,9,3,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
42,1,0,0,35,5,3,1,0,0,1,0,6,4,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,1,0
43,1,0,0,25,6,2,3,0,0,1,0,7,10,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,5,1,0,1,0,0,0,1,0,0
